id,matched_word,snippet,confirmed_flag,note
2087963364526014578,a$$., are telling you to shove YOUR peace deal up YOUR [[a$$.]]🤨,True,vulgar phrase
2087921047668470001,Aria,d of the Second World War”  ✍️ Opinion by Sami al-[[Aria]]n  🔗 https://t.co/RP6tzPLJSK,False,name substring (commentator Sami al-Arian)
2087617793403273558,Aria,"Dr. Sami Al-[[Aria]]n writes in Middle East Eye: ""The war on Iran crac",False,name substring (commentator Sami Al-Arian)
2087561128196833662,fat ,more worthy to be in the pact than that overgrown [[fat ]]slob salman desert arab with no brains but walking,True,body-shaming + ethnic-tinged insult toward a person
2087532948664746299,Aria,✍️ Opinion by Sami Al-[[Aria]]n https://t.co/EAnEnl2ffC,False,name substring (commentator Sami Al-Arian)
2087499313454694900,pene,light) course-changing systems.   That raises the [[pene]]tration challenge for layered defenses and high-va,False,military jargon ('penetration challenge')
2087391760427212923,pene,U.S. concedes Iran modified its combat tactics to [[pene]]trate American air defense systems. NYT,False,military jargon ('penetrate air defense')
2087269407231742343,Enla,"linger-Jahn Chairman, Austrian Committee for NATO [[Enla]]rgement @GunterFehlinger https://t.co/4HINhwoD2M",False,substring artifact ('NATO Enlargement')
2087217755959214127,god ," Dutch Chief of NATO are bent on integrating, and [[god ]]forbid, Turkey into the EU defence architecture.  ",False,idiom ('god forbid')
2086998006629294109,pene," ballistic missile force retains the potential to [[pene]]trate or overwhelm layered defense systems, especi",False,military jargon ('penetrate defense systems')
2086411927601766514,7) i,nal proxies as effectively as it once threatened; [[7) i]]ts main leverage is not military but geography: th,False,"numbering artifact ('7)'), not a word"
2085732666867908870,God ,"nited States; then, the Mujahideen in the path of [[God ]]will stand by your side.",False,religious reference ('path of God')
